,target,time,turkId
20322,3,624.1519999999998,ID7
20328,1,630.9430000000001,ID7
20331,1,631.0990050000001,ID7
20332,1,631.3750000000001,ID7
20333,1,631.9230050000001,ID7
20334,1,632.0750050000001,ID7
20335,1,632.439005,ID7
20336,1,632.4510000000001,ID7
20337,1,633.0050000000001,ID7
20338,1,633.229,ID7
20339,1,633.4620000000001,ID7
20340,1,633.602005,ID7
20341,1,634.107005,ID7
20347,2,636.4840000000003,ID7
20350,2,636.516,ID7
20351,2,636.616005,ID7
20352,2,637.2980050000001,ID7
20359,5,640.6670050000001,ID7
20362,5,640.7090000000002,ID7
20363,5,640.9460000000001,ID7
20364,5,640.9560000000001,ID7
20365,5,641.0269999999998,ID7
20366,5,641.2010000000001,ID7
20367,5,641.286,ID7
20368,5,641.534005,ID7
20369,5,641.9860000000001,ID7
20370,5,642.0260049999998,ID7
20376,4,643.4860000000001,ID7
20379,4,643.6050050000001,ID7
20380,4,643.9380000000001,ID7
20381,4,643.953005,ID7
20382,4,644.2690000000001,ID7
20388,2,646.6580000000001,ID7
20391,2,646.871005,ID7
20392,2,646.979,ID7
20393,2,647.0310049999998,ID7
20394,2,647.890005,ID7
20400,1,654.5120049999998,ID7
20403,1,654.8610000000001,ID7
20404,1,654.9600000000003,ID7
20405,1,655.7730050000001,ID7
20406,1,655.9880049999998,ID7
20407,1,656.0850000000003,ID7
20408,1,656.3450000000001,ID7
20409,1,656.4450050000003,ID7
20410,1,656.7860000000002,ID7
20411,1,656.8260000000001,ID7
20412,1,657.051,ID7
20413,1,657.0850000000003,ID7
20419,2,659.2880000000001,ID7
20422,2,659.503,ID7
20423,2,659.584,ID7
20424,2,659.867,ID7
20425,2,660.078005,ID7
20426,2,660.1530000000001,ID7
20427,2,660.2870050000001,ID7
20428,2,660.41,ID7
20429,2,660.5470000000001,ID7
20430,2,660.8430000000002,ID7
20431,2,660.8790050000001,ID7
20437,3,663.4670000000001,ID7
20440,3,663.8170050000001,ID7
20441,3,663.9520000000001,ID7
20442,3,664.116005,ID7
20443,3,664.1950050000003,ID7
20444,3,664.314005,ID7
20445,3,664.5910050000001,ID7
20446,3,664.66,ID7
20447,3,664.8070000000001,ID7
20448,3,664.8800000000001,ID7
20449,3,665.2260000000001,ID7
20450,3,665.4750000000001,ID7
20456,4,667.8980050000001,ID7
20459,4,668.0190000000001,ID7
20460,4,668.155,ID7
20461,4,668.934005,ID7
20467,5,670.2980050000001,ID7
20470,5,670.7620049999998,ID7
20471,5,671.1000000000001,ID7
20477,5,671.824,ID7
20480,5,671.9560000000001,ID7
20481,5,672.0330000000001,ID7
20482,5,672.1810050000001,ID7
20483,5,672.9680000000002,ID7
20484,5,672.9810000000001,ID7
20485,5,672.9950000000001,ID7
20486,5,673.1360000000002,ID7
20487,5,673.2540050000001,ID7
20488,5,673.3919999999998,ID7
20489,5,673.640005,ID7
20490,5,673.6490000000001,ID7
20491,5,674.2020000000001,ID7
20497,0,680.564005,ID7
20500,0,680.9810000000001,ID7
20503,0,682.184005,ID7
20506,0,682.3000049999998,ID7
20512,2,686.165005,ID7
20515,2,686.4550050000001,ID7
20516,2,686.7000050000001,ID7
20517,2,686.972005,ID7
20518,2,687.0690050000002,ID7
20519,2,687.3540000000003,ID7
20520,2,687.4760000000001,ID7
20521,2,687.6130050000003,ID7
20522,2,687.7110050000001,ID7
20523,2,687.785,ID7
20524,2,688.1300000000001,ID7
20530,1,689.2790050000001,ID7
20533,1,690.1140000000001,ID7
20534,1,690.1370049999998,ID7
20535,1,690.3060050000001,ID7
20536,1,690.453005,ID7
20537,1,691.020005,ID7
20543,1,691.747,ID7
20546,1,692.2520049999998,ID7
20547,1,692.621005,ID7
20548,1,692.9080000000001,ID7
20554,3,694.0920000000001,ID7
20557,3,694.3060050000001,ID7
20558,3,694.3600050000001,ID7
20559,3,694.53,ID7
20560,3,694.6150000000001,ID7
20561,3,694.6780050000001,ID7
20562,3,694.7530000000003,ID7
20563,3,695.1770000000001,ID7
20569,4,696.0760000000001,ID7
20572,4,696.3680050000003,ID7
20573,4,696.4200050000003,ID7
20574,4,696.5080000000003,ID7
20575,4,696.655,ID7
20576,4,696.7290000000003,ID7
20577,4,696.9740050000001,ID7
20583,3,698.1880000000001,ID7
20586,3,698.5470000000001,ID7
20587,3,698.6950050000003,ID7
20588,3,698.867,ID7
20589,3,698.9410000000001,ID7
20590,3,699.2760049999998,ID7
20596,5,701.635005,ID7
20599,5,702.5250000000003,ID7
20600,5,702.541,ID7
20601,5,703.1760000000003,ID7
20602,5,703.241005,ID7
20603,5,703.352005,ID7
20604,5,703.501005,ID7
20605,5,704.309005,ID7
20606,5,704.998,ID7
20607,5,705.4880050000003,ID7
20613,3,707.4320000000001,ID7
20616,3,707.665005,ID7
20617,3,707.789005,ID7
20618,3,707.814005,ID7
20619,3,708.6540050000001,ID7
20620,3,709.1860050000001,ID7
20621,3,709.2830000000001,ID7
20622,3,709.3350000000003,ID7
20623,3,709.4940000000001,ID7
20629,2,710.520005,ID7
20632,2,710.7110050000001,ID7
20633,2,710.890005,ID7
20634,2,711.0140000000001,ID7
20635,2,711.1250000000001,ID7
20636,2,711.3770049999998,ID7
20637,2,711.4330000000001,ID7
20638,2,711.722005,ID7
20644,5,712.679,ID7
20647,5,712.7520049999998,ID7
20648,5,712.7830000000001,ID7
20649,5,713.2380050000003,ID7
20650,5,713.362,ID7
20651,5,714.0440000000001,ID7
20657,3,727.5040050000001,ID7
20660,3,728.1630000000001,ID7
20661,3,728.5380000000001,ID7
20662,3,728.8070000000001,ID7
20663,3,729.270005,ID7
20664,3,729.3800000000001,ID7
20665,3,729.414005,ID7
20666,3,730.2350050000001,ID7
20667,3,730.385005,ID7
20668,3,730.43,ID7
20669,3,731.179,ID7
20675,5,732.4230050000001,ID7
20678,5,732.4560000000001,ID7
20679,5,732.6670050000001,ID7
20680,5,733.4990050000001,ID7
20686,5,734.0930000000002,ID7
20689,5,734.3060050000001,ID7
20690,5,734.3600050000001,ID7
20691,5,734.742,ID7
20692,5,734.8400000000001,ID7
20693,5,735.2190050000003,ID7
20699,4,736.0710000000001,ID7
20702,4,736.5380000000001,ID7
